"102";"1";"ú";"936";"4.80554959653715e-06"
"23";"1";"v";"1217709";"0.00625188140347185"
"48";"1";"V";"347797";"0.00178563646690901"
"19";"1";"w";"1947066";"0.00999649810975555"
"40";"1";"W";"422016";"0.00216668677193613"
"69";"1";"x";"119231";"0.000612147952932394"
"82";"1";"X";"11289";"5.79592408069528e-05"
"51";"1";"y";"273228";"0.00140278921491736"
"79";"1";"Y";"13129";"6.74060477061284e-05"
"21";"1";"z";"1723886";"0.00885066204249576"
"56";"1";"Z";"232054";"0.00119139637401157"
"119";"1";"µ";"190";"9.75485495023566e-07"
